Ninh Kiều, Cần Thơ
H.Vị Thuỷ, T.Hậu Giang
Long Mỹ, Hậu Giang
Huyện Long Mỹ, Tỉnh Hậu Giang
H.Long Mỹ, T.Hậu Giang
Long Mỹ, Hậu Giang
Thị xã Long Mỹ, Tỉnh Hậu Giang
Thị xã Long Mỹ, T.Hậu Giang
Ba Đình, Hà Nội
Quận Ba Đình, Thành phố Hà Nội
Q.Ba Đình, TP.Hà Nội
Hoàn Kiếm, Hà Nội
Quận Hoàn Kiếm, Thành phố Hà Nội
Q.Hoàn Kiếm, TP.Hà Nội
Tây Hồ, Hà Nội
Quận Tây Hồ, Thành phố Hà Nội
Q.Tây Hồ, TP.Hà Nội
Long Biên, Hà Nội
Quận Long Biên, Thành phố Hà Nội
Q.Long Biên, TP.Hà Nội
Cầu Giấy, Hà Nội
Quận Cầu Giấy, Thành phố Hà Nội
Q.Cầu Giấy, TP.Hà Nội
Đống Đa, Hà Nội
Quận Đống Đa, Thành phố Hà Nội
Q.Đống Đa, TP.Hà Nội
Hai Bà Trưng, Hà Nội
Quận Hai Bà Trưng, Thành phố Hà Nội
Q.Hai Bà Trưng, TP.Hà Nội
Hoàng Mai, Hà Nội
Quận Hoàng Mai, Thành phố Hà Nội
Q.Hoàng Mai, TP.Hà Nội
Thanh Xuân, Hà Nội
Quận Thanh Xuân, Thành phố Hà Nội
Q.Thanh Xuân, TP.Hà Nội
Sóc Sơn, Hà Nội
Huyện Sóc Sơn, Thành phố Hà Nội
H.Sóc Sơn, TP.Hà Nội
Đông Anh, Hà Nội
Huyện Đông Anh, Thành phố Hà Nội
H.Đông Anh, TP.Hà Nội
Gia Lâm, Hà Nội
Huyện Gia Lâm, Thành phố Hà Nội
H.Gia Lâm, TP.Hà Nội
Nam Từ Liêm, Hà Nội
Quận Nam Từ Liêm, Thành phố Hà Nội
Q.Nam Từ Liêm, TP.Hà Nội
Thanh Trì, Hà Nội
Huyện Thanh Trì, Thành phố Hà Nội
H.Thanh Trì, TP.Hà Nội
Bắc Từ Liêm, Hà Nội
Quận Bắc Từ Liêm, Thành phố Hà Nội
Q.Bắc Từ Liêm, TP.Hà Nội
Mê Linh, Hà Nội
Huyện Mê Linh, Thành phố Hà Nội
H.Mê Linh, TP.Hà Nội
Hà Đông, Hà Nội
Quận Hà Đông, Thành phố Hà Nội
Q.Hà Đông, TP.Hà Nội
Sơn Tây, Hà Nội
Thị xã Sơn Tây, Thành phố Hà Nội
Thị xã Sơn Tây, TP.Hà Nội
Ba Vì, Hà Nội
Huyện Ba Vì, Thành phố Hà Nội
H.Ba Vì, TP.Hà Nội
Phúc Thọ, Hà Nội
Huyện Phúc Thọ, Thành phố Hà Nội
H.Phúc Thọ, TP.Hà Nội
Đan Phượng, Hà Nội
Huyện Đan Phượng, Thành phố Hà Nội
H.Đan Phượng, TP.Hà Nội
Hoài Đức, Hà Nội
Huyện Hoài Đức, Thành phố Hà Nội
H.Hoài Đức, TP.Hà Nội
Quốc Oai, Hà Nội
Huyện Quốc Oai, Thành phố Hà Nội
H.Quốc Oai, TP.Hà Nội
Thạch Thất, Hà Nội
Huyện Thạch Thất, Thành phố Hà Nội
H.Thạch Thất, TP.Hà Nội
Chương Mỹ, Hà Nội
Huyện Chương Mỹ, Thành phố Hà Nội
H.Chương Mỹ, TP.Hà Nội
Thanh Oai, Hà Nội
Huyện Thanh Oai, Thành phố Hà Nội
H.Thanh Oai, TP.Hà Nội
Thường Tín, Hà Nội
Huyện Thường Tín, Thành phố Hà Nội
H.Thường Tín, TP.Hà Nội
Phú Xuyên, Hà Nội
Huyện Phú Xuyên, Thành phố Hà Nội
H.Phú Xuyên, TP.Hà Nội
Ứng Hòa, Hà Nội
Huyện Ứng Hòa, Thành phố Hà Nội
H.Ứng Hòa, TP.Hà Nội
Mỹ Đức, Hà Nội
Huyện Mỹ Đức, Thành phố Hà Nội
H.Mỹ Đức, TP.Hà Nội
Hòa Bình, Hoà Bình
Thành phố Hòa Bình, Tỉnh Hoà Bình
TP.Hòa Bình, T.Hoà Bình
Đà Bắc, Hoà Bình
Huyện Đà Bắc, Tỉnh Hoà Bình
H.Đà Bắc, T.Hoà Bình
Lương Sơn, Hoà Bình
Huyện Lương Sơn, Tỉnh Hoà Bình
H.Lương Sơn, T.Hoà Bình
Kim Bôi, Hoà Bình
Huyện Kim Bôi, Tỉnh Hoà Bình
H.Kim Bôi, T.Hoà Bình
Cao Phong, Hoà Bình
Huyện Cao Phong, Tỉnh Hoà Bình
H.Cao Phong, T.Hoà Bình
Tân Lạc, Hoà Bình
Huyện Tân Lạc, Tỉnh Hoà Bình
H.Tân Lạc, T.Hoà Bình
Mai Châu, Hoà Bình
Huyện Mai Châu, Tỉnh Hoà Bình
H.Mai Châu, T.Hoà Bình
Lạc Sơn, Hoà Bình
Huyện Lạc Sơn, Tỉnh Hoà Bình
H.Lạc Sơn, T.Hoà Bình
Yên Thủy, Hoà Bình
Huyện Yên Thủy, Tỉnh Hoà Bình
H.Yên Thủy, T.Hoà Bình
Lạc Thủy, Hoà Bình
Huyện Lạc Thủy, Tỉnh Hoà Bình
H.Lạc Thủy, T.Hoà Bình
Hưng Yên, Hưng Yên
Thành phố Hưng Yên, Tỉnh Hưng Yên
TP.Hưng Yên, T.Hưng Yên
Văn Lâm, Hưng Yên
Huyện Văn Lâm, Tỉnh Hưng Yên
H.Văn Lâm, T.Hưng Yên
Văn Giang, Hưng Yên
Huyện Văn Giang, Tỉnh Hưng Yên
H.Văn Giang, T.Hưng Yên
Yên Mỹ, Hưng Yên
Huyện Yên Mỹ, Tỉnh Hưng Yên
H.Yên Mỹ, T.Hưng Yên
Mỹ Hào, Hưng Yên
Thị xã Mỹ Hào, Tỉnh Hưng Yên
Thị xã Mỹ Hào, T.Hưng Yên
Ân Thi, Hưng Yên
Huyện Ân Thi, Tỉnh Hưng Yên
H.Ân Thi, T.Hưng Yên
Khoái Châu, Hưng Yên
Huyện Khoái Châu, Tỉnh Hưng Yên
H.Khoái Châu, T.Hưng Yên
Kim Động, Hưng Yên
Huyện Kim Động, Tỉnh Hưng Yên
H.Kim Động, T.Hưng Yên
Tiên Lữ, Hưng Yên
Huyện Tiên Lữ, Tỉnh Hưng Yên
H.Tiên Lữ, T.Hưng Yên
Phù Cừ, Hưng Yên
Huyện Phù Cừ, Tỉnh Hưng Yên
H.Phù Cừ, T.Hưng Yên
Nha Trang, Khánh Hòa
Thành phố Nha Trang, Tỉnh Khánh Hòa
TP.Nha Trang, T.Khánh Hòa
Cam Ranh, Khánh Hòa
Thành phố Cam Ranh, Tỉnh Khánh Hòa
TP.Cam Ranh, T.Khánh Hòa
Cam Lâm, Khánh Hòa
Huyện Cam Lâm, Tỉnh Khánh Hòa
H.Cam Lâm, T.Khánh Hòa
Vạn Ninh, Khánh Hòa
Huyện Vạn Ninh, Tỉnh Khánh Hòa
H.Vạn Ninh, T.Khánh Hòa
Ninh Hòa, Khánh Hòa
Thị xã Ninh Hòa, Tỉnh Khánh Hòa
Thị xã Ninh Hòa, T.Khánh Hòa
Khánh Vĩnh, Khánh Hòa
Huyện Khánh Vĩnh, Tỉnh Khánh Hòa
H.Khánh Vĩnh, T.Khánh Hòa
Diên Khánh, Khánh Hòa
Huyện Diên Khánh, Tỉnh Khánh Hòa
H.Diên Khánh, T.Khánh Hòa
Khánh Sơn, Khánh Hòa
Huyện Khánh Sơn, Tỉnh Khánh Hòa
H.Khánh Sơn, T.Khánh Hòa
Trường Sa, Khánh Hòa
Huyện Trường Sa, Tỉnh Khánh Hòa
H.Trường Sa, T.Khánh Hòa
Rạch Giá, Kiên Giang
Thành phố Rạch Giá, Tỉnh Kiên Giang
TP.Rạch Giá, T.Kiên Giang
Hà Tiên, Kiên Giang
Thành phố Hà Tiên, Tỉnh Kiên Giang
TP.Hà Tiên, T.Kiên Giang
Kiên Lương, Kiên Giang
Huyện Kiên Lương, Tỉnh Kiên Giang
H.Kiên Lương, T.Kiên Giang
Hòn Đất, Kiên Giang
Huyện Hòn Đất, Tỉnh Kiên Giang
H.Hòn Đất, T.Kiên Giang
Tân Hiệp, Kiên Giang
Huyện Tân Hiệp, Tỉnh Kiên Giang
H.Tân Hiệp, T.Kiên Giang
Châu Thành, Kiên Giang
Huyện Châu Thành, Tỉnh Kiên Giang
H.Châu Thành, T.Kiên Giang
Giồng Riềng, Kiên Giang
Huyện Giồng Riềng, Tỉnh Kiên Giang
H.Giồng Riềng, T.Kiên Giang
Gò Quao, Kiên Giang
Huyện Gò Quao, Tỉnh Kiên Giang
H.Gò Quao, T.Kiên Giang
An Biên, Kiên Giang
Huyện An Biên, Tỉnh Kiên Giang
H.An Biên, T.Kiên Giang
An Minh, Kiên Giang
Huyện An Minh, Tỉnh Kiên Giang
H.An Minh, T.Kiên Giang
Vĩnh Thuận, Kiên Giang
Huyện Vĩnh Thuận, Tỉnh Kiên Giang
H.Vĩnh Thuận, T.Kiên Giang
Phú Quốc, Kiên Giang
Huyện Phú Quốc, Tỉnh Kiên Giang
H.Phú Quốc, T.Kiên Giang
Kiên Hải, Kiên Giang
Huyện Kiên Hải, Tỉnh Kiên Giang
H.Kiên Hải, T.Kiên Giang
U Minh Thượng, Kiên Giang
Huyện U Minh Thượng, Tỉnh Kiên Giang
H.U Minh Thượng, T.Kiên Giang
Giang Thành, Kiên Giang
Huyện Giang Thành, Tỉnh Kiên Giang
H.Giang Thành, T.Kiên Giang
Kon Tum, Kon Tum
Thành phố Kon Tum, Tỉnh Kon Tum
TP.Kon Tum, T.Kon Tum
Đắk Glei, Kon Tum
Huyện Đắk Glei, Tỉnh Kon Tum
H.Đắk Glei, T.Kon Tum
Ngọc Hồi, Kon Tum
Huyện Ngọc Hồi, Tỉnh Kon Tum
H.Ngọc Hồi, T.Kon Tum
Đắk Tô, Kon Tum
Huyện Đắk Tô, Tỉnh Kon Tum
H.Đắk Tô, T.Kon Tum
Kon Plông, Kon Tum
Huyện Kon Plông, Tỉnh Kon Tum
H.Kon Plông, T.Kon Tum
Kon Rẫy, Kon Tum
Huyện Kon Rẫy, Tỉnh Kon Tum
H.Kon Rẫy, T.Kon Tum
Đắk Hà, Kon Tum
Huyện Đắk Hà, Tỉnh Kon Tum
H.Đắk Hà, T.Kon Tum
Sa Thầy, Kon Tum
Huyện Sa Thầy, Tỉnh Kon Tum
H.Sa Thầy, T.Kon Tum
Tu Mơ Rông, Kon Tum
Huyện Tu Mơ Rông, Tỉnh Kon Tum
H.Tu Mơ Rông, T.Kon Tum
Ia H' Drai, Kon Tum
Huyện Ia H' Drai, Tỉnh Kon Tum
H.Ia H' Drai, T.Kon Tum
Lai Châu, Lai Châu
Thành phố Lai Châu, Tỉnh Lai Châu
TP.Lai Châu, T.Lai Châu
Tam Đường, Lai Châu
Huyện Tam Đường, Tỉnh Lai Châu
H.Tam Đường, T.Lai Châu
Mường Tè, Lai Châu
Huyện Mường Tè, Tỉnh Lai Châu
H.Mường Tè, T.Lai Châu
Sìn Hồ, Lai Châu
Huyện Sìn Hồ, Tỉnh Lai Châu
H.Sìn Hồ, T.Lai Châu
Phong Thổ, Lai Châu
Huyện Phong Thổ, Tỉnh Lai Châu
H.Phong Thổ, T.Lai Châu
Than Uyên, Lai Châu
Huyện Than Uyên, Tỉnh Lai Châu
H.Than Uyên, T.Lai Châu
Tân Uyên, Lai Châu
Huyện Tân Uyên, Tỉnh Lai Châu
H.Tân Uyên, T.Lai Châu
Nậm Nhùn, Lai Châu
Huyện Nậm Nhùn, Tỉnh Lai Châu
H.Nậm Nhùn, T.Lai Châu
Đà Lạt, Lâm Đồng
Thành phố Đà Lạt, Tỉnh Lâm Đồng
TP.Đà Lạt, T.Lâm Đồng
Bảo Lộc, Lâm Đồng
Thành phố Bảo Lộc, Tỉnh Lâm Đồng
TP.Bảo Lộc, T.Lâm Đồng
Đam Rông, Lâm Đồng
Huyện Đam Rông, Tỉnh Lâm Đồng
H.Đam Rông, T.Lâm Đồng
Lạc Dương, Lâm Đồng
Huyện Lạc Dương, Tỉnh Lâm Đồng
H.Lạc Dương, T.Lâm Đồng
Lâm Hà, Lâm Đồng
Huyện Lâm Hà, Tỉnh Lâm Đồng
H.Lâm Hà, T.Lâm Đồng
Đơn Dương, Lâm Đồng
Huyện Đơn Dương, Tỉnh Lâm Đồng
H.Đơn Dương, T.Lâm Đồng
Đức Trọng, Lâm Đồng
Huyện Đức Trọng, Tỉnh Lâm Đồng
H.Đức Trọng, T.Lâm Đồng
Di Linh, Lâm Đồng
Huyện Di Linh, Tỉnh Lâm Đồng
H.Di Linh, T.Lâm Đồng
Bảo Lâm, Lâm Đồng
Huyện Bảo Lâm, Tỉnh Lâm Đồng
H.Bảo Lâm, T.Lâm Đồng
Đạ Huoai, Lâm Đồng
Huyện Đạ Huoai, Tỉnh Lâm Đồng
H.Đạ Huoai, T.Lâm Đồng
Đạ Tẻh, Lâm Đồng
Huyện Đạ Tẻh, Tỉnh Lâm Đồng
H.Đạ Tẻh, T.Lâm Đồng
Cát Tiên, Lâm Đồng
Huyện Cát Tiên, Tỉnh Lâm Đồng
H.Cát Tiên, T.Lâm Đồng
Lạng Sơn, Lạng Sơn
Thành phố Lạng Sơn, Tỉnh Lạng Sơn
TP.Lạng Sơn, T.Lạng Sơn
Tràng Định, Lạng Sơn
Huyện Tràng Định, Tỉnh Lạng Sơn
H.Tràng Định, T.Lạng Sơn
Bình Gia, Lạng Sơn
Huyện Bình Gia, Tỉnh Lạng Sơn
H.Bình Gia, T.Lạng Sơn
Văn Lãng, Lạng Sơn
Huyện Văn Lãng, Tỉnh Lạng Sơn
H.Văn Lãng, T.Lạng Sơn
Cao Lộc, Lạng Sơn
Huyện Cao Lộc, Tỉnh Lạng Sơn
H.Cao Lộc, T.Lạng Sơn
Văn Quan, Lạng Sơn
Huyện Văn Quan, Tỉnh Lạng Sơn
H.Văn Quan, T.Lạng Sơn
Bắc Sơn, Lạng Sơn
Huyện Bắc Sơn, Tỉnh Lạng Sơn
H.Bắc Sơn, T.Lạng Sơn
Hữu Lũng, Lạng Sơn
Huyện Hữu Lũng, Tỉnh Lạng Sơn
H.Hữu Lũng, T.Lạng Sơn
Chi Lăng, Lạng Sơn
Huyện Chi Lăng, Tỉnh Lạng Sơn
H.Chi Lăng, T.Lạng Sơn
Lộc Bình, Lạng Sơn
Huyện Lộc Bình, Tỉnh Lạng Sơn
H.Lộc Bình, T.Lạng Sơn
Đình Lập, Lạng Sơn
Huyện Đình Lập, Tỉnh Lạng Sơn
H.Đình Lập, T.Lạng Sơn
Lào Cai, Lào Cai
Thành phố Lào Cai, Tỉnh Lào Cai
TP.Lào Cai, T.Lào Cai
Bát Xát, Lào Cai
Huyện Bát Xát, Tỉnh Lào Cai
H.Bát Xát, T.Lào Cai
Mường Khương, Lào Cai
Huyện Mường Khương, Tỉnh Lào Cai
H.Mường Khương, T.Lào Cai
Si Ma Cai, Lào Cai
Huyện Si Ma Cai, Tỉnh Lào Cai
H.Si Ma Cai, T.Lào Cai
Bắc Hà, Lào Cai
Huyện Bắc Hà, Tỉnh Lào Cai
H.Bắc Hà, T.Lào Cai
Bảo Thắng, Lào Cai
Huyện Bảo Thắng, Tỉnh Lào Cai
H.Bảo Thắng, T.Lào Cai
Bảo Yên, Lào Cai
Huyện Bảo Yên, Tỉnh Lào Cai
H.Bảo Yên, T.Lào Cai
Sa Pa, Lào Cai
Thị xã Sa Pa, Tỉnh Lào Cai
Thị xã Sa Pa, T.Lào Cai
Văn Bàn, Lào Cai
Huyện Văn Bàn, Tỉnh Lào Cai
H.Văn Bàn, T.Lào Cai
Tân An, Long An
Thành phố Tân An, Tỉnh Long An
TP.Tân An, T.Long An
Kiến Tường, Long An
Thị xã Kiến Tường, Tỉnh Long An
Thị xã Kiến Tường, T.Long An
Tân Hưng, Long An
Huyện Tân Hưng, Tỉnh Long An
H.Tân Hưng, T.Long An
Vĩnh Hưng, Long An
Huyện Vĩnh Hưng, Tỉnh Long An
H.Vĩnh Hưng, T.Long An
Mộc Hóa, Long An
Huyện Mộc Hóa, Tỉnh Long An
H.Mộc Hóa, T.Long An
Tân Thạnh, Long An
Huyện Tân Thạnh, Tỉnh Long An
H.Tân Thạnh, T.Long An
Thạnh Hóa, Long An
Huyện Thạnh Hóa, Tỉnh Long An
H.Thạnh Hóa, T.Long An
Đức Huệ, Long An
Huyện Đức Huệ, Tỉnh Long An
H.Đức Huệ, T.Long An
Đức Hòa, Long An
Huyện Đức Hòa, Tỉnh Long An
H.Đức Hòa, T.Long An
Bến Lức, Long An
Huyện Bến Lức, Tỉnh Long An
H.Bến Lức, T.Long An
Thủ Thừa, Long An
Huyện Thủ Thừa, Tỉnh Long An
H.Thủ Thừa, T.Long An
Tân Trụ, Long An
Huyện Tân Trụ, Tỉnh Long An
H.Tân Trụ, T.Long An
Cần Đước, Long An
Huyện Cần Đước, Tỉnh Long An
H.Cần Đước, T.Long An
Cần Giuộc, Long An
Huyện Cần Giuộc, Tỉnh Long An
H.Cần Giuộc, T.Long An
Châu Thành, Long An
Huyện Châu Thành, Tỉnh Long An
H.Châu Thành, T.Long An
Hồng Bàng, Hải Phòng
Quận Hồng Bàng, Thành phố Hải Phòng
Q.Hồng Bàng, TP.Hải Phòng
Ngô Quyền, Hải Phòng
Quận Ngô Quyền, Thành phố Hải Phòng
Q.Ngô Quyền, TP.Hải Phòng
Lê Chân, Hải Phòng
Quận Lê Chân, Thành phố Hải Phòng
Q.Lê Chân, TP.Hải Phòng
Hải An, Hải Phòng
Quận Hải An, Thành phố Hải Phòng
Q.Hải An, TP.Hải Phòng
Kiến An, Hải Phòng
Quận Kiến An, Thành phố Hải Phòng
Q.Kiến An, TP.Hải Phòng
Đồ Sơn, Hải Phòng
Quận Đồ Sơn, Thành phố Hải Phòng
Q.Đồ Sơn, TP.Hải Phòng
Dương Kinh, Hải Phòng
Quận Dương Kinh, Thành phố Hải Phòng
Q.Dương Kinh, TP.Hải Phòng
Thuỷ Nguyên, Hải Phòng
Huyện Thuỷ Nguyên, Thành phố Hải Phòng
H.Thuỷ Nguyên, TP.Hải Phòng
An Dương, Hải Phòng
Huyện An Dương, Thành phố Hải Phòng
H.An Dương, TP.Hải Phòng
An Lão, Hải Phòng
Huyện An Lão, Thành phố Hải Phòng
H.An Lão, TP.Hải Phòng
Kiến Thuỵ, Hải Phòng
Huyện Kiến Thuỵ, Thành phố Hải Phòng
H.Kiến Thuỵ, TP.Hải Phòng
Tiên Lãng, Hải Phòng
Huyện Tiên Lãng, Thành phố Hải Phòng
H.Tiên Lãng, TP.Hải Phòng
Vĩnh Bảo, Hải Phòng
Huyện Vĩnh Bảo, Thành phố Hải Phòng
H.Vĩnh Bảo, TP.Hải Phòng
Cát Hải, Hải Phòng
Huyện Cát Hải, Thành phố Hải Phòng
H.Cát Hải, TP.Hải Phòng
Nam Định, Nam Định
Thành phố Nam Định, Tỉnh Nam Định
TP.Nam Định, T.Nam Định
Mỹ Lộc, Nam Định
Huyện Mỹ Lộc, Tỉnh Nam Định
H.Mỹ Lộc, T.Nam Định
Vụ Bản, Nam Định
Huyện Vụ Bản, Tỉnh Nam Định
H.Vụ Bản, T.Nam Định
Ý Yên, Nam Định
Huyện Ý Yên, Tỉnh Nam Định
H.Ý Yên, T.Nam Định
Nghĩa Hưng, Nam Định
Huyện Nghĩa Hưng, Tỉnh Nam Định
H.Nghĩa Hưng, T.Nam Định
Nam Trực, Nam Định
Huyện Nam Trực, Tỉnh Nam Định
H.Nam Trực, T.Nam Định
Trực Ninh, Nam Định
Huyện Trực Ninh, Tỉnh Nam Định
H.Trực Ninh, T.Nam Định
Xuân Trường, Nam Định
Huyện Xuân Trường, Tỉnh Nam Định
H.Xuân Trường, T.Nam Định
Giao Thủy, Nam Định
Huyện Giao Thủy, Tỉnh Nam Định
H.Giao Thủy, T.Nam Định
Hải Hậu, Nam Định
Huyện Hải Hậu, Tỉnh Nam Định
H.Hải Hậu, T.Nam Định
Vinh, Nghệ An
Thành phố Vinh, Tỉnh Nghệ An
TP.Vinh, T.Nghệ An
Cửa Lò, Nghệ An
Thị xã Cửa Lò, Tỉnh Nghệ An
Thị xã Cửa Lò, T.Nghệ An
Thái Hoà, Nghệ An
Thị xã Thái Hoà, Tỉnh Nghệ An
Thị xã Thái Hoà, T.Nghệ An
Quế Phong, Nghệ An
Huyện Quế Phong, Tỉnh Nghệ An
H.Quế Phong, T.Nghệ An
Quỳ Châu, Nghệ An
Huyện Quỳ Châu, Tỉnh Nghệ An
H.Quỳ Châu, T.Nghệ An
Kỳ Sơn, Nghệ An
Huyện Kỳ Sơn, Tỉnh Nghệ An
H.Kỳ Sơn, T.Nghệ An
Tương Dương, Nghệ An
Huyện Tương Dương, Tỉnh Nghệ An
H.Tương Dương, T.Nghệ An
Nghĩa Đàn, Nghệ An
Huyện Nghĩa Đàn, Tỉnh Nghệ An
H.Nghĩa Đàn, T.Nghệ An
Quỳ Hợp, Nghệ An
Huyện Quỳ Hợp, Tỉnh Nghệ An
H.Quỳ Hợp, T.Nghệ An
Quỳnh Lưu, Nghệ An
Huyện Quỳnh Lưu, Tỉnh Nghệ An
H.Quỳnh Lưu, T.Nghệ An
Con Cuông, Nghệ An
Huyện Con Cuông, Tỉnh Nghệ An
H.Con Cuông, T.Nghệ An
Tân Kỳ, Nghệ An
Huyện Tân Kỳ, Tỉnh Nghệ An
H.Tân Kỳ, T.Nghệ An
Anh Sơn, Nghệ An
Huyện Anh Sơn, Tỉnh Nghệ An
H.Anh Sơn, T.Nghệ An
Diễn Châu, Nghệ An
Huyện Diễn Châu, Tỉnh Nghệ An
H.Diễn Châu, T.Nghệ An
Yên Thành, Nghệ An
Huyện Yên Thành, Tỉnh Nghệ An
H.Yên Thành, T.Nghệ An
Đô Lương, Nghệ An
Huyện Đô Lương, Tỉnh Nghệ An
H.Đô Lương, T.Nghệ An
Thanh Chương, Nghệ An
Huyện Thanh Chương, Tỉnh Nghệ An
H.Thanh Chương, T.Nghệ An
Nghi Lộc, Nghệ An
Huyện Nghi Lộc, Tỉnh Nghệ An
H.Nghi Lộc, T.Nghệ An
Nam Đàn, Nghệ An
Huyện Nam Đàn, Tỉnh Nghệ An
H.Nam Đàn, T.Nghệ An
Hưng Nguyên, Nghệ An
Huyện Hưng Nguyên, Tỉnh Nghệ An
H.Hưng Nguyên, T.Nghệ An
Hoàng Mai, Nghệ An
Thị xã Hoàng Mai, Tỉnh Nghệ An
Thị xã Hoàng Mai, T.Nghệ An
Ninh Bình, Ninh Bình
Thành phố Ninh Bình, Tỉnh Ninh Bình
TP.Ninh Bình, T.Ninh Bình
Tam Điệp, Ninh Bình
Thành phố Tam Điệp, Tỉnh Ninh Bình
TP.Tam Điệp, T.Ninh Bình
Nho Quan, Ninh Bình
Huyện Nho Quan, Tỉnh Ninh Bình
H.Nho Quan, T.Ninh Bình
Gia Viễn, Ninh Bình
Huyện Gia Viễn, Tỉnh Ninh Bình
H.Gia Viễn, T.Ninh Bình
Hoa Lư, Ninh Bình
Huyện Hoa Lư, Tỉnh Ninh Bình
H.Hoa Lư, T.Ninh Bình
Yên Khánh, Ninh Bình
Huyện Yên Khánh, Tỉnh Ninh Bình
H.Yên Khánh, T.Ninh Bình
Kim Sơn, Ninh Bình
Huyện Kim Sơn, Tỉnh Ninh Bình
H.Kim Sơn, T.Ninh Bình
Yên Mô, Ninh Bình
Huyện Yên Mô, Tỉnh Ninh Bình
H.Yên Mô, T.Ninh Bình
Phan Rang-Tháp Chàm, Ninh Thuận
Thành phố Phan Rang-Tháp Chàm, Tỉnh Ninh Thuận
TP.Phan Rang-Tháp Chàm, T.Ninh Thuận
Bác Ái, Ninh Thuận
Huyện Bác Ái, Tỉnh Ninh Thuận
H.Bác Ái, T.Ninh Thuận
Ninh Sơn, Ninh Thuận
Huyện Ninh Sơn, Tỉnh Ninh Thuận
H.Ninh Sơn, T.Ninh Thuận
Ninh Hải, Ninh Thuận
Huyện Ninh Hải, Tỉnh Ninh Thuận
H.Ninh Hải, T.Ninh Thuận
Ninh Phước, Ninh Thuận
Huyện Ninh Phước, Tỉnh Ninh Thuận
H.Ninh Phước, T.Ninh Thuận
Thuận Bắc, Ninh Thuận
Huyện Thuận Bắc, Tỉnh Ninh Thuận
H.Thuận Bắc, T.Ninh Thuận
Thuận Nam, Ninh Thuận
Huyện Thuận Nam, Tỉnh Ninh Thuận
H.Thuận Nam, T.Ninh Thuận
Việt Trì, Phú Thọ
Thành phố Việt Trì, Tỉnh Phú Thọ
TP.Việt Trì, T.Phú Thọ
Phú Thọ, Phú Thọ
Thị xã Phú Thọ, Tỉnh Phú Thọ
Thị xã Phú Thọ, T.Phú Thọ
Đoan Hùng, Phú Thọ
Huyện Đoan Hùng, Tỉnh Phú Thọ
H.Đoan Hùng, T.Phú Thọ
Hạ Hoà, Phú Thọ
Huyện Hạ Hoà, Tỉnh Phú Thọ
H.Hạ Hoà, T.Phú Thọ
Thanh Ba, Phú Thọ
Huyện Thanh Ba, Tỉnh Phú Thọ
H.Thanh Ba, T.Phú Thọ
Phù Ninh, Phú Thọ
Huyện Phù Ninh, Tỉnh Phú Thọ
H.Phù Ninh, T.Phú Thọ
Yên Lập, Phú Thọ
Huyện Yên Lập, Tỉnh Phú Thọ
H.Yên Lập, T.Phú Thọ
Cẩm Khê, Phú Thọ
Huyện Cẩm Khê, Tỉnh Phú Thọ
H.Cẩm Khê, T.Phú Thọ
Tam Nông, Phú Thọ
Huyện Tam Nông, Tỉnh Phú Thọ
H.Tam Nông, T.Phú Thọ
Lâm Thao, Phú Thọ
Huyện Lâm Thao, Tỉnh Phú Thọ
H.Lâm Thao, T.Phú Thọ
Thanh Sơn, Phú Thọ
Huyện Thanh Sơn, Tỉnh Phú Thọ
H.Thanh Sơn, T.Phú Thọ
Thanh Thuỷ, Phú Thọ
Huyện Thanh Thuỷ, Tỉnh Phú Thọ
H.Thanh Thuỷ, T.Phú Thọ
Tân Sơn, Phú Thọ
Huyện Tân Sơn, Tỉnh Phú Thọ
H.Tân Sơn, T.Phú Thọ
Tuy Hoà, Phú Yên
Thành phố Tuy Hoà, Tỉnh Phú Yên
TP.Tuy Hoà, T.Phú Yên
Sông Cầu, Phú Yên
Thị xã Sông Cầu, Tỉnh Phú Yên
Thị xã Sông Cầu, T.Phú Yên
Đồng Xuân, Phú Yên
Huyện Đồng Xuân, Tỉnh Phú Yên
H.Đồng Xuân, T.Phú Yên
Tuy An, Phú Yên
Huyện Tuy An, Tỉnh Phú Yên
H.Tuy An, T.Phú Yên
Sơn Hòa, Phú Yên
Huyện Sơn Hòa, Tỉnh Phú Yên
H.Sơn Hòa, T.Phú Yên
Sông Hinh, Phú Yên
Huyện Sông Hinh, Tỉnh Phú Yên
H.Sông Hinh, T.Phú Yên
Tây Hoà, Phú Yên
Huyện Tây Hoà, Tỉnh Phú Yên
H.Tây Hoà, T.Phú Yên
Phú Hoà, Phú Yên
Huyện Phú Hoà, Tỉnh Phú Yên
H.Phú Hoà, T.Phú Yên
Đông Hòa, Phú Yên
Huyện Đông Hòa, Tỉnh Phú Yên
H.Đông Hòa, T.Phú Yên
Đồng Hới, Quảng Bình
Thành Phố Đồng Hới, Tỉnh Quảng Bình
Thành Phố Đồng Hới, T.Quảng Bình
Minh Hóa, Quảng Bình
Huyện Minh Hóa, Tỉnh Quảng Bình
H.Minh Hóa, T.Quảng Bình
Tuyên Hóa, Quảng Bình
Huyện Tuyên Hóa, Tỉnh Quảng Bình
H.Tuyên Hóa, T.Quảng Bình
Quảng Trạch, Quảng Bình
Huyện Quảng Trạch, Tỉnh Quảng Bình
H.Quảng Trạch, T.Quảng Bình
Bố Trạch, Quảng Bình
Huyện Bố Trạch, Tỉnh Quảng Bình
